[ TIME ] [ JOB ID ]                [ EVENT TYPE ]
  11194      J51                       STARTED
  11220      J13                      RELEASED
  11220      J13                       STARTED
  11242      J13                      FINISHED
  11266      J51                      FINISHED
  11266      J61                       STARTED
  11316      J61                      FINISHED
  11330      J14                      RELEASED
  11330      J14                       STARTED
  11352      J14                      FINISHED
  11440      J15                      RELEASED
  11440      J15                       STARTED
  11462      J15                      FINISHED
  11500      J22                      RELEASED
  11500      J22                       STARTED
  11500      J32                      RELEASED
  11500      J42                      RELEASED
  11500      J62                      RELEASED
  11500      J52                      RELEASED
  11550      J22                      FINISHED
  11550      J16                      RELEASED
  11550      J16                       STARTED
  11572      J16                      FINISHED
  11572      J32                       STARTED
  11622      J32                      FINISHED
  11622      J42                       STARTED
  11660      J17                      RELEASED
  11660      J17                       STARTED
  11682      J17                      FINISHED
  11694      J42                      FINISHED
  11694      J52                       STARTED
  11744      J62                       STARTED
  11744      J52                      FINISHED
  11770      J18                      RELEASED
  11770      J18                       STARTED
  11792      J18                      FINISHED
  11816      J62                      FINISHED
  11880      J19                      RELEASED
  11880      J19                       STARTED
  11902      J19                      FINISHED
  11990      J110                      RELEASED
  11990      J110                       STARTED
  12000      J33                      RELEASED
  12000      J23                      RELEASED
  12000      J43                      RELEASED
  12000      J53                      RELEASED
  12000      J63                      RELEASED
  12012      J110                      FINISHED
  12012      J23                       STARTED
  12062      J33                       STARTED
  12062      J23                      FINISHED
  12100      J111                      RELEASED
  12100      J111                       STARTED
  12122      J111                      FINISHED
  12134      J33                      FINISHED
  12134      J43                       STARTED
  12184      J43                      FINISHED
  12184      J53                       STARTED
  12210      J112                      RELEASED
  12210      J112                       STARTED
  12232      J112                      FINISHED
  12256      J53                      FINISHED
  12256      J63                       STARTED
  12306      J63                      FINISHED
  12320      J113                      RELEASED
  12320      J113                       STARTED
  12342      J113                      FINISHED
  12430      J114                      RELEASED
  12430      J114                       STARTED
  12452      J114                      FINISHED
  12500      J24                      RELEASED
  12500      J24                       STARTED
  12500      J34                      RELEASED
  12500      J44                      RELEASED
  12500      J64                      RELEASED
  12500      J54                      RELEASED
  12540      J115                      RELEASED
  12540      J115                       STARTED
  12562      J115                      FINISHED
  12572      J24                      FINISHED
  12572      J34                       STARTED
  12622      J34                      FINISHED
  12622      J44                       STARTED
  12650      J116                      RELEASED
  12650      J116                       STARTED
  12672      J116                      FINISHED
  12694      J44                      FINISHED
  12694      J54                       STARTED
  12744      J64                       STARTED
  12744      J54                      FINISHED
  12760      J117                      RELEASED
  12760      J117                       STARTED
  12782      J117                      FINISHED
  12816      J64                      FINISHED
  12870      J118                      RELEASED
  12870      J118                       STARTED
  12892      J118                      FINISHED
  12980      J119                      RELEASED
  12980      J119                       STARTED
  13000      J35                      RELEASED
  13000      J25                      RELEASED
