ECU0: LK, ECU1: CC
3560, ECU0: LK, 1
3560, ECU1: CC, 1
3570, ECU0: LK, 0
3570, ECU1: CC, 0
3580, ECU0: LK, 1
3580, ECU1: CC, 1
3590, ECU0: LK, 0
3590, ECU1: CC, 0
3600, ECU0: LK, 1
3600, ECU1: CC, 1
3610, ECU0: LK, 0
3610, ECU1: CC, 0
3620, ECU0: LK, 1
3620, ECU1: CC, 1
3630, ECU0: LK, 0
3630, ECU1: CC, 0
3640, ECU0: LK, 1
3640, ECU1: CC, 1
3650, ECU0: LK, 0
3650, ECU1: CC, 0
3660, ECU0: LK, 1
3660, ECU1: CC, 1
3670, ECU0: LK, 0
3670, ECU1: CC, 0
3680, ECU0: LK, 1
3680, ECU1: CC, 1
3690, ECU0: LK, 0
3690, ECU1: CC, 0
3700, ECU0: LK, 1
3700, ECU1: CC, 1
3710, ECU0: LK, 0
3710, ECU1: CC, 0
3720, ECU0: LK, 1
3720, ECU1: CC, 1
3730, ECU0: LK, 0
3730, ECU1: CC, 0
3740, ECU0: LK, 1
3740, ECU1: CC, 1
3750, ECU0: LK, 0
3750, ECU1: CC, 0
3760, ECU0: LK, 1
3760, ECU1: CC, 1
3770, ECU0: LK, 0
3770, ECU1: CC, 0
3780, ECU0: LK, 1
3780, ECU1: CC, 1
3790, ECU0: LK, 0
3790, ECU1: CC, 0
3800, ECU0: LK, 1
3800, ECU1: CC, 1
3810, ECU0: LK, 0
3810, ECU1: CC, 0
3820, ECU0: LK, 1
3820, ECU1: CC, 1
3830, ECU0: LK, 0
3830, ECU1: CC, 0
3840, ECU0: LK, 1
3840, ECU1: CC, 1
3850, ECU0: LK, 0
3850, ECU1: CC, 0
3860, ECU0: LK, 1
3860, ECU1: CC, 1
3870, ECU0: LK, 0
3870, ECU1: CC, 0
3880, ECU0: LK, 1
3880, ECU1: CC, 1
3890, ECU0: LK, 0
3890, ECU1: CC, 0
3900, ECU0: LK, 1
3900, ECU1: CC, 1
3910, ECU0: LK, 0
3910, ECU1: CC, 0
3920, ECU0: LK, 1
3920, ECU1: CC, 1
3930, ECU0: LK, 0
3930, ECU1: CC, 0
3940, ECU0: LK, 1
3940, ECU1: CC, 1
3950, ECU0: LK, 0
3950, ECU1: CC, 0
3960, ECU0: LK, 1
3960, ECU1: CC, 1
3970, ECU0: LK, 0
3970, ECU1: CC, 0
3980, ECU0: LK, 1
3980, ECU1: CC, 1
3990, ECU0: LK, 0
3990, ECU1: CC, 0
